110 tensor(0.0007, device='cuda:0')
111 tensor(0.0010, device='cuda:0')
112 tensor(0.0007, device='cuda:0')
113 tensor(0.0009, device='cuda:0')
114 tensor(0.0007, device='cuda:0')
115 tensor(0.0005, device='cuda:0')
116 tensor(0.0007, device='cuda:0')
117 tensor(0.0006, device='cuda:0')
118 tensor(0.0006, device='cuda:0')
119 tensor(0.0006, device='cuda:0')
120 tensor(0.0007, device='cuda:0')
121 tensor(0.0007, device='cuda:0')
122 tensor(0.0007, device='cuda:0')
123 tensor(0.0018, device='cuda:0')
124 tensor(0.0007, device='cuda:0')
125 tensor(0.0005, device='cuda:0')
126 tensor(0.0009, device='cuda:0')
127 tensor(0.0007, device='cuda:0')
128 tensor(0.0006, device='cuda:0')
129 tensor(0.0006, device='cuda:0')
130 tensor(0.0006, device='cuda:0')
131 tensor(0.0007, device='cuda:0')
132 tensor(0.0007, device='cuda:0')
133 tensor(0.0007, device='cuda:0')
134 tensor(0.0006, device='cuda:0')
135 tensor(0.0005, device='cuda:0')
136 tensor(0.0006, device='cuda:0')
137 tensor(0.0006, device='cuda:0')
138 tensor(0.0006, device='cuda:0')
139 tensor(0.0007, device='cuda:0')
140 tensor(0.0005, device='cuda:0')
141 tensor(0.0005, device='cuda:0')
142 tensor(0.0008, device='cuda:0')
143 tensor(0.0006, device='cuda:0')
144 tensor(0.0007, device='cuda:0')
145 tensor(0.0005, device='cuda:0')
146 tensor(0.0004, device='cuda:0')
147 tensor(0.0005, device='cuda:0')
148 tensor(0.0005, device='cuda:0')
149 tensor(0.0006, device='cuda:0')
150 tensor(0.0004, device='cuda:0')
151 tensor(0.0005, device='cuda:0')
152 tensor(0.0005, device='cuda:0')
153 tensor(0.0008, device='cuda:0')
154 tensor(0.0004, device='cuda:0')
155 tensor(0.0005, device='cuda:0')
156 tensor(0.0004, device='cuda:0')
157 tensor(0.0004, device='cuda:0')
158 tensor(0.0005, device='cuda:0')
159 tensor(0.0004, device='cuda:0')
160 tensor(0.0004, device='cuda:0')
161 tensor(0.0004, device='cuda:0')
162 tensor(0.0003, device='cuda:0')
163 tensor(0.0004, device='cuda:0')
164 tensor(0.0004, device='cuda:0')
165 tensor(0.0004, device='cuda:0')
166 tensor(0.0004, device='cuda:0')
167 tensor(0.0003, device='cuda:0')
168 tensor(0.0004, device='cuda:0')
169 tensor(0.0008, device='cuda:0')
170 tensor(0.0003, device='cuda:0')
171 tensor(0.0003, device='cuda:0')
172 tensor(0.0003, device='cuda:0')
173 tensor(0.0003, device='cuda:0')
174 tensor(0.0003, device='cuda:0')
175 tensor(0.0003, device='cuda:0')
176 tensor(0.0004, device='cuda:0')
177 tensor(0.0003, device='cuda:0')
178 tensor(0.0004, device='cuda:0')
179 tensor(0.0003, device='cuda:0')
180 tensor(0.0003, device='cuda:0')
181 tensor(0.0004, device='cuda:0')
182 tensor(0.0003, device='cuda:0')
183 tensor(0.0003, device='cuda:0')
