0 tensor(0.0455, device='cuda:0')
1 tensor(0.0339, device='cuda:0')
2 tensor(0.0121, device='cuda:0')
3 tensor(0.0048, device='cuda:0')
4 tensor(0.0035, device='cuda:0')
5 tensor(0.0022, device='cuda:0')
6 tensor(0.0034, device='cuda:0')
7 tensor(0.0024, device='cuda:0')
8 tensor(0.0019, device='cuda:0')
9 tensor(0.0026, device='cuda:0')
10 tensor(0.0018, device='cuda:0')
11 tensor(0.0037, device='cuda:0')
12 tensor(0.0023, device='cuda:0')
13 tensor(0.0031, device='cuda:0')
14 tensor(0.0015, device='cuda:0')
15 tensor(0.0017, device='cuda:0')
16 tensor(0.0022, device='cuda:0')
17 tensor(0.0021, device='cuda:0')
18 tensor(0.0016, device='cuda:0')
19 tensor(0.0014, device='cuda:0')
20 tensor(0.0014, device='cuda:0')
21 tensor(0.0015, device='cuda:0')
22 tensor(0.0016, device='cuda:0')
23 tensor(0.0011, device='cuda:0')
24 tensor(0.0018, device='cuda:0')
25 tensor(0.0012, device='cuda:0')
26 tensor(0.0014, device='cuda:0')
27 tensor(0.0011, device='cuda:0')
28 tensor(0.0013, device='cuda:0')
29 tensor(0.0013, device='cuda:0')
30 tensor(0.0016, device='cuda:0')
31 tensor(0.0019, device='cuda:0')
32 tensor(0.0014, device='cuda:0')
33 tensor(0.0018, device='cuda:0')
34 tensor(0.0012, device='cuda:0')
35 tensor(0.0010, device='cuda:0')
36 tensor(0.0014, device='cuda:0')
