184 tensor(0.0002, device='cuda:0')
185 tensor(0.0002, device='cuda:0')
186 tensor(0.0002, device='cuda:0')
187 tensor(0.0002, device='cuda:0')
188 tensor(0.0004, device='cuda:0')
189 tensor(0.0002, device='cuda:0')
190 tensor(0.0002, device='cuda:0')
191 tensor(0.0001, device='cuda:0')
192 tensor(0.0002, device='cuda:0')
193 tensor(0.0001, device='cuda:0')
194 tensor(0.0001, device='cuda:0')
195 tensor(0.0001, device='cuda:0')
196 tensor(0.0001, device='cuda:0')
197 tensor(0.0001, device='cuda:0')
198 tensor(0.0001, device='cuda:0')
199 tensor(0.0001, device='cuda:0')
